Step,Intersection,Total Cars,Waiting Cars,Average Speed,Waiting Time
21.0,tlshoria_square2,0,0,22.22,0.0
21.0,tlshoria_square3,0,0,22.22,0.0
21.0,tlslasilky_square,0,0,27.78,0.0
21.0,tlslasilky_square2,0,0,27.78,0.0
21.0,tlslasilky_square3,0,0,27.78,0.0
21.0,tlsmoomen,0,0,22.22,0.0
21.0,tlsmoomen2,0,0,25.0,0.0
21.0,tlsmoomen3,0,0,25.93,0.0
21.0,tlsnasser_square,0,0,20.82,0.0
22.0,tlshoria_square1,0,0,22.22,0.0
22.0,tlshoria_square2,0,0,22.22,0.0
22.0,tlshoria_square3,0,0,22.22,0.0
22.0,tlslasilky_square,0,0,27.78,0.0
22.0,tlslasilky_square2,0,0,27.78,0.0
22.0,tlslasilky_square3,0,0,27.78,0.0
22.0,tlsmoomen,0,0,22.22,0.0
22.0,tlsmoomen2,0,0,25.0,0.0
22.0,tlsmoomen3,0,0,25.93,0.0
22.0,tlsnasser_square,0,0,20.82,0.0
23.0,tlshoria_square1,0,0,22.22,0.0
23.0,tlshoria_square2,0,0,22.22,0.0
23.0,tlshoria_square3,0,0,22.22,0.0
23.0,tlslasilky_square,0,0,27.78,0.0
23.0,tlslasilky_square2,0,0,27.78,0.0
23.0,tlslasilky_square3,0,0,27.78,0.0
23.0,tlsmoomen,0,0,22.22,0.0
23.0,tlsmoomen2,0,0,25.0,0.0
23.0,tlsmoomen3,0,0,25.93,0.0
23.0,tlsnasser_square,0,0,20.82,0.0
24.0,tlshoria_square1,0,0,22.22,0.0
24.0,tlshoria_square2,0,0,22.22,0.0
24.0,tlshoria_square3,0,0,22.22,0.0
24.0,tlslasilky_square,0,0,27.78,0.0
24.0,tlslasilky_square2,0,0,27.78,0.0
24.0,tlslasilky_square3,0,0,27.78,0.0
24.0,tlsmoomen,0,0,22.22,0.0
24.0,tlsmoomen2,0,0,25.0,0.0
24.0,tlsmoomen3,0,0,25.93,0.0
24.0,tlsnasser_square,0,0,20.82,0.0
25.0,tlshoria_square1,0,0,22.22,0.0
25.0,tlshoria_square2,0,0,22.22,0.0
25.0,tlshoria_square3,0,0,22.22,0.0
25.0,tlslasilky_square,0,0,27.78,0.0
25.0,tlslasilky_square2,0,0,27.78,0.0
25.0,tlslasilky_square3,0,0,27.78,0.0
25.0,tlsmoomen,0,0,22.22,0.0
25.0,tlsmoomen2,0,0,25.0,0.0
25.0,tlsmoomen3,0,0,25.93,0.0
25.0,tlsnasser_square,0,0,20.82,0.0
26.0,tlshoria_square1,0,0,22.22,0.0
26.0,tlshoria_square2,0,0,22.22,0.0
26.0,tlshoria_square3,0,0,22.22,0.0
26.0,tlslasilky_square,0,0,27.78,0.0
26.0,tlslasilky_square2,0,0,27.78,0.0
26.0,tlslasilky_square3,0,0,27.78,0.0
26.0,tlsmoomen,0,0,22.22,0.0
26.0,tlsmoomen2,0,0,25.0,0.0
26.0,tlsmoomen3,0,0,25.93,0.0
26.0,tlsnasser_square,0,0,20.82,0.0
27.0,tlshoria_square1,0,0,22.22,0.0
27.0,tlshoria_square2,0,0,22.22,0.0
27.0,tlshoria_square3,0,0,22.22,0.0
27.0,tlslasilky_square,0,0,27.78,0.0
27.0,tlslasilky_square2,0,0,27.78,0.0
27.0,tlslasilky_square3,0,0,27.78,0.0
27.0,tlsmoomen,0,0,22.22,0.0
27.0,tlsmoomen2,0,0,25.0,0.0
27.0,tlsmoomen3,0,0,25.93,0.0
27.0,tlsnasser_square,0,0,20.82,0.0
28.0,tlshoria_square1,0,0,22.22,0.0
28.0,tlshoria_square2,1,0,21.54,0.0
28.0,tlshoria_square3,0,0,22.22,0.0
28.0,tlslasilky_square,0,0,27.78,0.0
28.0,tlslasilky_square2,0,0,27.78,0.0
28.0,tlslasilky_square3,0,0,27.78,0.0
28.0,tlsmoomen,0,0,22.22,0.0
28.0,tlsmoomen2,0,0,25.0,0.0
28.0,tlsmoomen3,0,0,25.93,0.0
28.0,tlsnasser_square,0,0,20.82,0.0
29.0,tlshoria_square1,0,0,22.22,0.0
29.0,tlshoria_square2,1,0,21.32,0.0
29.0,tlshoria_square3,0,0,22.22,0.0
29.0,tlslasilky_square,0,0,27.78,0.0
29.0,tlslasilky_square2,0,0,27.78,0.0
29.0,tlslasilky_square3,0,0,27.78,0.0
